Fold Size,True Error,Training Error
10,2.1105876160035448,3.2566568970847847
11,2.0780539045539563,3.2577499660050404
12,2.0973749472624728,3.2594867816988948
13,2.0833360675781778,3.2606316091952099
14,2.0937619634535305,3.2603808690932397
15,2.0714192049026274,3.2619212550142804
16,2.05840779376783,3.2621579631899009
17,2.0676324742107459,3.2625777308708312
18,2.0766723494013157,3.2634698006147156
19,2.0736328836947822,3.2632338632226365
20,2.0813127672983027,3.2633238229357735
21,2.0847569525371128,3.26365945174294
22,2.070404008250569,3.2642801428744281
23,2.0749610359233635,3.2646470869592044
24,2.0803539701756826,3.2648619639621916
25,2.080355392358479,3.2649627232086869
26,2.0883180084604058,3.2654505994494292
27,2.0759177923608032,3.2655679036190377
28,2.0904967469991416,3.2655265950994452
29,2.0694109993435581,3.2657688237663973
30,2.0703651462784101,3.2658014411653062
31,2.0644856687802968,3.2658196158808113
32,2.0722888504942221,3.2658488675636077
33,2.0677972613317994,3.2663362525398654
