Fold Size,True Error,Training Error
10,1.3802070539392024,1.3845269136887817
11,1.3805699340838795,1.3846852760888764
12,1.3801646421086415,1.3844340260803494
13,1.3785192165188993,1.3838118499994378
14,1.3783868435262765,1.3839442093350949
15,1.3791224534330477,1.3834638491723403
16,1.3806870782602869,1.3833692071697641
17,1.3781890488212223,1.3833048690910688
18,1.3809147502423302,1.3832930423541188
19,1.3778516339977134,1.3834207262406037
20,1.3828844419290074,1.3828980434180937
21,1.3803254071864062,1.383059493856156
22,1.3775404096126269,1.3830681486578984
23,1.3788019115471173,1.3830151386486587
24,1.3797887059447751,1.3828972040901963
25,1.3771796395827405,1.3828968811266378
26,1.3776683480237906,1.3828573843658145
27,1.3838015989934231,1.3827884550422995
28,1.3804716293325741,1.3828191005876105
29,1.3830642829175279,1.3827023779744081
30,1.3795959445841695,1.3827095721446796
31,1.3806203609957484,1.3826135895233835
32,1.3758048759161401,1.3826208510890414
33,1.3797176421873438,1.3825398992728739
