Name,RTC Mean,RTA Mean,IMDB Mean
Golan-Globus Productions,66.999999999999972,44.999999999999993,6.0999999999999996
AJF Productions,62.999999999999993,57.999999999999986,6.4999999999999991
Recorded Picture Company (RPC),70.386869860187147,63.879313301174413,6.949618842220298
EMI Films,27.276363393971721,59.899916527487775,6.0745370193949766
Jack Giarraputo Productions,40.0,74.999999999999972,6.4000000000000004
April Films,64.999999999999986,49.999999999999993,6.4000000000000004
Chris Lee Productions,43.999999999999993,48.000000000000007,6.4000000000000004
NALA Films,43.0,36.0,5.5
Elmer Gantry Productions,95.999999999999986,85.999999999999972,7.9000000000000021
ATR Films,12.0,29.000000000000004,5.2000000000000002
Warner Independent Pictures (WIP),78.216525267466835,80.631255849339567,7.4534719489611367
BET Pictures,15.999999999999998,87.0,5.5
Strong Heart/Demme Production,94.0,95.0,8.5999999999999979
Walt Disney Pictures,51.264971978201935,59.485737672314741,6.3662190714825577
Ambush Entertainment,22.000000000000004,34.999999999999993,5.7000000000000011
Kintop Pictures,85.000000000000014,72.999999999999986,6.7000000000000011
"Tyler Perry Company, The",39.252795722263073,73.489794501396204,3.8330451369135834
Idéale Audience,71.0,64.999999999999986,6.5999999999999988
Omni Zoetrope,85.999999999999972,83.999999999999986,7.4000000000000012
No Matter Pictures,65.999999999999972,82.000000000000014,7.4000000000000012
Avnet/Kerner Productions,15.0,64.999999999999986,6.4000000000000004
Resident Evil Productions,22.000000000000004,57.999999999999986,6.2999999999999989
BMI (No. 9) Ltd.,55.000000000000014,71.0,6.7000000000000011
Yari Film Group Releasing,61.000000000000007,62.000000000000007,7.1000000000000005
Abraham Productions,34.999999999999993,51.0,6.0
Cinéa,66.999999999999972,87.0,6.7000000000000011
Selznick International Pictures,93.120974106396616,89.217412327368791,8.0623359340049099
Morgan Creek Productions,23.767397717592424,52.109427433952831,5.9946094895904132
"Geffen Company, The",90.0,79.0,6.9000000000000004
Millennium Films,31.170871309116016,45.213944333636213,6.0619151738237473
CBS Films,41.527639427529913,55.547981001144215,6.4076212530274361
MK2 Productions,43.0,34.000000000000007,6.0999999999999996
FGM Entertainment,68.000000000000014,79.999999999999972,7.3000000000000007
United Film Distribution Company (UFDC),13.999999999999996,22.000000000000004,7.2000000000000002
Tonic Films,62.999999999999993,43.999999999999993,5.5999999999999996
De Laurentiis Entertainment Group (DEG),89.095454429504983,81.700673191840934,7.3830887845128892
British Broadcasting Corporation (BBC),53.694680733402045,57.914680478022291,6.5085748880202159
Film Office,36.0,48.000000000000007,6.0999999999999996
Elle Driver,41.000000000000007,30.000000000000004,5.2999999999999998
Rectangle Productions,72.0,66.999999999999972,6.9000000000000004
Serious Productions,88.999999999999986,62.999999999999993,6.4000000000000004
Lewitt / Eberts Prouctions,10.000000000000002,29.000000000000004,5.2999999999999998
Eden Rock Media,43.840620433565952,70.887234393789072,6.6992536897776898
Porchlight Films,97.0,83.000000000000028,7.3000000000000007
Rex Media,33.0,36.999999999999993,5.5999999999999996
Brothers' Ink Productions,13.0,66.999999999999972,4.7000000000000002
Good Machine,78.07426553008186,70.136552398339717,7.1123181511753479
New Crime Productions,30.000000000000004,37.999999999999993,5.7000000000000011
Edward R. Pressman Film,32.0,63.999999999999979,6.4000000000000004
Reel FX Creative Studios,17.999999999999996,44.999999999999993,5.9000000000000004
Mandarin Pictures,6.0,41.000000000000007,7.1000000000000005
Bac Films,77.000000000000014,85.999999999999972,7.3000000000000007
Zoetrope Studios,78.439822976339755,75.426312913375767,7.3545300409583074
Access Motion Picture Group,90.999999999999972,85.000000000000014,7.3000000000000007
Razor Film Produktion GmbH,34.999999999999993,44.999999999999993,6.4000000000000004
Elevation Filmworks,59.999999999999986,57.999999999999986,6.2000000000000011
Sycamore Pictures,85.000000000000014,83.999999999999986,7.4000000000000012
Bait Productions,26.000000000000004,42.000000000000007,5.2000000000000002
New World Pictures,53.000000000000007,46.999999999999993,6.0999999999999996
Arc Productions,38.999999999999993,61.000000000000007,5.5999999999999996
Columbia Pictures,0.0,58.243155936953556,6.3428092747358882
Cliffjack Motion Pictures,6.0,36.0,5.9000000000000004
Mantarraya Producciones,62.999999999999993,63.999999999999979,6.9000000000000004
Shadow Factory,29.000000000000004,43.0,5.7000000000000011
Columbia Pictures Industries,42.000000000000007,82.000000000000014,6.9000000000000004
Gullane Pictures,18.999999999999996,36.999999999999993,3.5
Big Balloon Adventure Movie,27.0,68.000000000000014,7.3000000000000007
Nine Yards Two Productions,4.0,41.000000000000007,5.4000000000000004
ShadowCatcher Entertainment,85.999999999999972,82.000000000000014,7.2000000000000002
Junebug Movie,85.999999999999972,74.000000000000028,6.9999999999999991
Goldcrest Pictures,32.310988842807021,55.272054421741899,6.9411814556313107
Miramax International,60.431779718952534,64.498061986388379,6.5069193939989765
Metro-Goldwyn-Mayer (MGM),42.295383447228019,55.283678040256277,6.3151253356633488
TaliaFilm II Productions,59.999999999999986,37.999999999999993,6.2000000000000011
Celador Films,36.0,33.0,7.3000000000000007
Universal International Pictures (UI),94.0,93.000000000000028,8.4000000000000004
Marzipan Entertainment,40.0,44.999999999999993,5.5
Astralwerks,93.000000000000028,87.0,7.8000000000000016
Lucasfilm Animation,17.999999999999996,38.999999999999993,5.7000000000000011
Great Scott Productions Pty. Ltd.,55.000000000000014,77.000000000000014,7.4000000000000012
D'Antoni Productions,98.000000000000043,88.000000000000028,7.8000000000000016
Imagine Entertainment,56.413341502713791,56.287966935804583,6.5708216401639161
Mayfair Entertainment International,95.999999999999986,85.999999999999972,7.4999999999999991
Pathe Productions,34.000000000000007,34.000000000000007,5.2999999999999998
Ealing Studios,40.149719799769478,50.842895275544649,6.2337789502034795
Marked Entertainment,81.000000000000028,55.000000000000014,6.2999999999999989
Free Range Films,78.0,83.999999999999986,7.3000000000000007
Number 9 Films,36.0,43.0,6.4999999999999991
Blue Yonder Films,33.0,55.000000000000014,5.9000000000000004
Exodus Film Group,36.0,36.999999999999993,6.0999999999999996
Total Recall,30.000000000000004,46.999999999999993,6.2999999999999989
Sweet Tea Pictures LLC,62.000000000000007,87.0,5.7999999999999998
Robert Wise Productions,85.000000000000014,90.999999999999972,7.9999999999999982
Les Armateurs,90.999999999999972,85.000000000000014,7.5999999999999979
Arenas Entertainment,21.0,62.999999999999993,6.0
Beacon Communications,26.337165502098618,61.122041907446054,5.8749132625445348
Starling Films,81.000000000000028,70.000000000000028,6.4000000000000004
Munich Film Partners & Company (MFP) Shaft Productions,68.000000000000014,41.000000000000007,5.9000000000000004
