Movie Name,Type,Value
The Yards,Director,James Gray
The Yards,Screenwriter,James Gray
The Yards,Screenwriter,Matt Reeves
The Yards,Producer,Miramax Films
Year One,Director,Harold Ramis
Year One,Screenwriter,Harold Ramis
Year One,Screenwriter,Gene Stupnitsky
Year One,Producer,Columbia Pictures
The Yellow Handkerchief,Director,Udayan Prasad
The Yellow Handkerchief,Screenwriter,Pete Hamill
The Yellow Handkerchief,Screenwriter,Erin Dignam
The Yellow Handkerchief,Producer,Arthur Cohn Productions
Yentl,Director,Barbra Streisand
Yentl,Screenwriter,Jack Rosenthal
Yentl,Screenwriter,Barbra Streisand
Yentl,Producer,United Artists
Yes,Director,Sally Potter
Yes,Screenwriter,Sally Potter
Yes,Producer,Adventure Pictures
Yes Man,Director,Peyton Reed
Yes Man,Screenwriter,Nicholas Stoller
Yes Man,Screenwriter,Jarrad Paul
Yes Man,Producer,Warner Bros.
Yesterday Was a Lie,Director,James Kerwin
Yesterday Was a Lie,Screenwriter,James Kerwin
Yesterday Was a Lie,Producer,Helicon Arts Cooperative
Yoga Hosers,Director,Kevin Smith
Yoga Hosers,Screenwriter,Kevin Smith
Yoga Hosers,Producer,Abbolita Productions
Yogi Bear 3D,Director,Eric Brevig
Yogi Bear 3D,Screenwriter,J.R. Ventimilia
Yogi Bear 3D,Screenwriter,Joshua Sternin
Yogi Bear 3D,Producer,Warner Bros.
You Again,Director,Andy Fickman
You Again,Screenwriter,Moe Jelline
You Again,Producer,Touchstone Pictures
You Can Count on Me,Director,Kenneth Lonergan
You Can Count on Me,Screenwriter,Kenneth Lonergan
You Can Count on Me,Producer,Hart-Sharp Entertainment
You Don't Mess With the Zohan,Director,Dennis Dugan
You Don't Mess With the Zohan,Screenwriter,Adam Sandler
You Don't Mess With the Zohan,Screenwriter,Robert Smigel
You Don't Mess With the Zohan,Producer,Columbia Pictures
You Got Served,Director,Chris Stokes
You Got Served,Screenwriter,Chris Stokes
You Got Served,Producer,Screen Gems
You Kill Me,Director,John Dahl
You Kill Me,Screenwriter,Christopher Markus
You Kill Me,Screenwriter,Stephen McFeely
You Kill Me,Producer,Bipolar Pictures
"You, Me and Dupree",Director,Anthony Russo
"You, Me and Dupree",Director,Joe Russo
"You, Me and Dupree",Screenwriter,Michael LeSieur
"You, Me and Dupree",Producer,Universal Pictures
You Only Live Twice,Director,Lewis Gilbert
You Only Live Twice,Screenwriter,Harold Jack Bloom
You Only Live Twice,Screenwriter,Roald Dahl
You Only Live Twice,Producer,Eon Productions
You Will Meet a Tall Dark Stranger,Director,Woody Allen
You Will Meet a Tall Dark Stranger,Screenwriter,Woody Allen
You Will Meet a Tall Dark Stranger,Producer,Mediapro
Young Adult,Director,Jason Reitman
Young Adult,Screenwriter,Diablo Cody
Young Adult,Producer,Paramount Pictures
Young Frankenstein,Director,Mel Brooks
Young Frankenstein,Screenwriter,Gene Wilder
Young Frankenstein,Screenwriter,Mel Brooks
Young Frankenstein,Producer,Gruskoff/Venture Films
Young Guns,Director,Christopher Cain
Young Guns,Screenwriter,John Fusco
Young Guns,Producer,Morgan Creek Productions
Young Sherlock Holmes,Director,Barry Levinson
Young Sherlock Holmes,Screenwriter,Arthur Conan Doyle
Young Sherlock Holmes,Screenwriter,Chris Columbus
Young Sherlock Holmes,Producer,Amblin Entertainment
The Young Victoria,Director,Jean-Marc Vallée
The Young Victoria,Screenwriter,Julian Fellowes
The Young Victoria,Producer,GK Films
Your Highness,Director,David Gordon Green
Your Highness,Screenwriter,Danny McBride
Your Highness,Screenwriter,Ben Best
Your Highness,Producer,Universal Pictures
Your Sister's Sister,Director,Lynn Shelton
Your Sister's Sister,Screenwriter,Lynn Shelton
Your Sister's Sister,Producer,Ada Films
"Yours, Mine and Ours",Director,Melville Shavelson
"Yours, Mine and Ours",Screenwriter,Bob Carroll Jr.
"Yours, Mine and Ours",Screenwriter,Madelyn Davis
"Yours, Mine and Ours",Producer,Desilu Productions
Youth in Revolt,Director,Miguel Arteta
Youth in Revolt,Screenwriter,Gustin Nash
Youth in Revolt,Screenwriter,C.D. Payne
Youth in Revolt,Producer,Dimension Films
You've Got Mail,Director,Nora Ephron
You've Got Mail,Screenwriter,Miklós László
You've Got Mail,Screenwriter,Nora Ephron
You've Got Mail,Producer,Warner Bros.
MacGruber,Director,Jorma Taccone
MacGruber,Screenwriter,Will Forte
MacGruber,Screenwriter,John Solomon
MacGruber,Producer,Michaels-Goldwyn
Machete,Director,Ethan Maniquis
Machete,Director,Robert Rodriguez
Machete,Screenwriter,Robert Rodriguez
Machete,Screenwriter,Álvaro Rodríguez
Machete,Producer,Overnight Films
Machete Kills,Director,Robert Rodriguez
Machete Kills,Screenwriter,Kyle Ward
Machete Kills,Screenwriter,Robert Rodriguez
Machete Kills,Producer,AR Films
Machine Gun Preacher,Director,Marc Forster
Machine Gun Preacher,Screenwriter,Jason Keller
Machine Gun Preacher,Producer,Relativity Media
The Machinist,Director,Brad Anderson
The Machinist,Screenwriter,Scott Kosar
The Machinist,Producer,Filmax Group
Mad City,Director,Costa-Gavras
Mad City,Screenwriter,Tom Matthews
Mad City,Screenwriter,Tom Matthews
Mad City,Producer,Arnold Kopelson Productions
Mad Hot Ballroom,Director,Marilyn Agrelo
Mad Hot Ballroom,Screenwriter,Amy Sewell
Mad Hot Ballroom,Producer,Just One Productions
Mad Max,Director,George Miller
Mad Max,Screenwriter,James McCausland
Mad Max,Screenwriter,George Miller
Mad Max,Producer,Kennedy Miller Productions
Mad Max Beyond Thunderdome,Director,George Miller
Mad Max Beyond Thunderdome,Director,George Ogilvie
Mad Max Beyond Thunderdome,Screenwriter,Terry Hayes
Mad Max Beyond Thunderdome,Screenwriter,George Miller
Mad Max Beyond Thunderdome,Producer,Kennedy Miller Productions
Mad Money,Director,Callie Khouri
Mad Money,Screenwriter,Glenn Gers
Mad Money,Screenwriter,John Mister
Mad Money,Producer,Big City Pictures
Madadayo,Director,Akira Kurosawa
Madadayo,Screenwriter,Akira Kurosawa
Madadayo,Screenwriter,Hyakken Uchida
Madadayo,Producer,DENTSU Music And Entertainment
Madagascar,Director,Eric Darnell
Madagascar,Director,Tom McGrath
Madagascar,Screenwriter,Mark Burton
Madagascar,Screenwriter,Billy Frolick
Madagascar,Producer,DreamWorks SKG
Madagascar 3: Europe's Most Wanted,Director,Eric Darnell
Madagascar 3: Europe's Most Wanted,Director,Tom McGrath
Madagascar 3: Europe's Most Wanted,Screenwriter,Eric Darnell
Madagascar 3: Europe's Most Wanted,Screenwriter,Noah Baumbach
Madagascar 3: Europe's Most Wanted,Producer,DreamWorks Animation
Madagascar: Escape 2 Africa,Director,Eric Darnell
Madagascar: Escape 2 Africa,Director,Tom McGrath
Madagascar: Escape 2 Africa,Screenwriter,Etan Cohen
Madagascar: Escape 2 Africa,Screenwriter,Eric Darnell
Madagascar: Escape 2 Africa,Producer,DreamWorks Animation
Made,Director,Jon Favreau
Made,Screenwriter,Jon Favreau
Made,Producer,Artisan Entertainment
Made in Dagenham,Director,Nigel Cole
Made in Dagenham,Screenwriter,William Ivory
Made in Dagenham,Producer,Audley Films
Made of Honor,Director,Paul Weiland
Made of Honor,Screenwriter,Adam Sztykiel
Made of Honor,Screenwriter,Deborah Kaplan
Made of Honor,Producer,Columbia Pictures
Madea Goes To Jail,Director,Tyler Perry
Madea Goes To Jail,Screenwriter,Tyler Perry
Madea Goes To Jail,Producer,"Tyler Perry Company, The"
Madea's Family Reunion,Director,Tyler Perry
Madea's Family Reunion,Screenwriter,Tyler Perry
Madea's Family Reunion,Producer,Lions Gate Films
