Carl Ellsworth
Norm MacDonald
Matt Fogel
Tobe Hooper
Peter Kassovitz
Katie Dippold
Rich Cowan
Brent Maddock
Don D. Scott
Michael Berry
Marianne Wibberley
Howard Fast
Nimród Antal
Michael Seitzman
Larry Rattner
Joe Gayton
Joseph Oriolo
Mark L. Lester
Ben Ramsey
Eron Sheean
Preston A. Whitmore II
Robert King
Nick Swardson
Gary Young
Art Monterastelli
Blair Cobbs
Darcy Meyers
Eddie Griffin
Gerry Anderson
Nnegest Likké
Dan Harmon
Steve Rudnick
Hollis Barton
Walter Bernstein
Grégoire Vigneron
Elizabeth Meriwether
Paul Haggis
Dave Eggers
Werner Herzog
David A. Newman
Paris Qualles
David Ignatius
Rowan Joffe
Art Linson
Scott Rothman
Steve Lopez
Shane Meadows
Dick Beebe
Jenny Downham
Joie Lee
James Jeremias
Scott Lobdell
John Krasinski
Alan Trustman
Michael Berg
Alan Freedland
Seth Lochhead
Reid Carolin
John Erick Dowdle
Martin Stellman
Patrick Wilde
Kevin Smith
George Nolfi
Vicky Jewson
H.A.L. Craig
Mark Skeet
Steve Faber
Abby Kohn
Matthew Stone
Cliff Hollingsworth
Kirk Jones
John Waters
Bennett Davlin
Thomas Eidson
Jerry Seinfeld
Ken Shapiro
Chad Hayes
Kieran Fitzgerald
Álvaro Rodríguez
Joseph Mungra
Victor Vu
Wesley Strick
Stephen White
Jeffrey Jurgensen
Catherine Hardwicke
Anne Rice
Thomas Keneally
Leon Uris
Jay Duplass
Chris Parker
Jimmy Hayward
Travis Milloy
Will Forte
Kevin Rock
Gus Van Sant
Raymond Chandler
Gary David Goldberg
Ronald Bass
Ann Biderman
David Wagner
Melvin Frank
Paul Greengrass
Anna Quindlen
Yuet-Jan Hui
Vince McKewin
Rock Reuben
Zoe Heller
John Morris
Joe Grant
Jesse Peretz
Bradley Rust Gray
Jerzy Kromolowski
Hans Fabian Wullenweber
Jeff Robison
Philip Stark
Thom Enriquez
Danny Boyle
Helen Fielding
Sam Raimi
Colin Wilson
Marc Hyman
April Blair
Carlos Ezquerra
Steven Millhauser
Gary Brandner
Ari Schlossberg
David Spade
Scott Silver
John Hamburg
Jackie Filgo
Brian Tucker
Joshua Cordes
David Himmelstein
Christopher Roach
Jon Krakauer
Heather Juergensen
Mike McAlary
John Tobias
Jerome Armstrong
Captain Mauzner
Scott Abramovitch
Matthew Quick
Jim Jacobs
Richard D'Ovidio
David Lynch
Kent Harper
Ken Kaufman
Tony Richardson
Andrew J. Cohen
Reggie Rock Bythewood
John Briley
Nicholas Sparks
Quentin Tarantino
Elan Mastai
Joyce Brabner
Jack Finney
Billy Crystal
Deborah Schwartz
Scott B. Smith
Randy Brown
Michael Schiffer
Herschel Weingrod
Louis C.K.
Judith Roberts
Paul Wernick
Stephen McFeely
Douglas McGrath
Todd Solondz
John Glenn
John Thomas
Jessica Bendinger
Alex Litvak
Bert V. Royal
Wilhelm Grimm
Rich Christiano
Thomas Lennon
Pamela Gray
Josh Gilbert
Nick Park
Thomas Cobb
Clive Exton
Billy Wilder
Johnny Knoxville
Lauren Weisberger
Will Beall
Robert Bloch
Carey Hayes
Kurt Wimmer
Chris Solimine
Matt Bierman
Harold Livingston
Don Caron
Joe Stillman
Laurent Bouhnik
Jason Segel
James Fenimore Cooper
Joseph Barbera
Charles F. Bohl
Ernesto Aguilar
Christopher Borrelli
Tony Mendez
Joseph Carter
Steven Naifeh
Adam Resnick
Michael Laughlin
RZA
Lona Williams
Peter Landesman
John Banville
John-Henry Butterworth
Alexandre Aja
Tom DiCillo
James Clavell
Washington Irving
Ray Bradbury
Andrew W. Marlowe
Darren Lynn Bousman
Paul Laverty
Andrew Haigh
Mort Briskin
Mike Rich
Cheo Hodari Coker
Josef Rusnak
Stanley Niss
Paul Dehn
Scott Derrickson
Brad Silberling
Howard A. Rodman
Frank Barhydt
Jon Bogdanove
Kim Fuller
Nat Hiken
Lorene Scafaria
Troy Kennedy-Martin
Paul Yurick
Sue Monk Kidd
Peter Farrelly
Agustín Díaz Yanes
Niels Mueller
Jeanne Rosenberg
Dan O'Bannon
Mike Reiss
Peter Griffiths
Michael Roesch
Chad Gomez Creasey
Hamish McColl
John Fusco
Alex Tse
Robert Collector
Jeremy Sosenko
George Bernard Shaw
Richard C. Morais
Mark Helprin
Scott Hicks
Jamieson Stern
Robert Dillon
Jack Bernstein
Laura Ziskin
Danny Provenzano
Ed Gass-Donnelly
Alec Berg
Zane Smith
Michel Hazanavicius
Larry Gelbart
Tony Gayton
David S. Ward
Barbra Streisand
Jon Vitti
Laurence Dworet
Tom Walsh
Heather McGowan
Bobcat Goldthwait
Jeffrey Alan Fiskin
Ali LeRoi
Brent Goldberg
Steven Gary Banks
Edgar Wright
Todd Farmer
Mary Norton
Brian Taggert
Vlas Parlapanides
William A. Wood III
Ray Jenkins
Lech Majewski
Tamara Jenkins
Lou Holtz Jr.
David L. Watts
María Belón
Larry L. King
Guy Elmes
Ronan Bennett
Bruno Barreto
Vera Blasi
James McCausland
Terry Rossio
Erin Cressida Wilson
Bruce Jay Friedman
Steven Zaillian
Tatiana von Furstenberg
George Lucas
Joe Ansolabehere
James Gunn
Trevor Moore
H.F. Saint
Jonathan Tydor
Simon Beaufoy
Andrew Miller
John Seabrook
Jack Rosenthal
Troy Duffy
Jane Austen
Steve McQueen
Ian McEwan
Christopher Wilkinson
Daniel Wallace
Jeffery Deaver
Adam Sztykiel
David Peace
Christine Olsen
Grant Nieporte
Jake Paltrow
James A. Kreitel
Sarah Dessen
Ann Peacock
Clayton Frohman
Dick Huemer
James V. Simpson
Stuart Blumberg
Stephen Colbert
Steve Coogan
Paul B. Stanton
Martine Danot
Jamie Babbit
Christophe Ali
Tom Bleecker
Sheryl Leach
Joe Harris
Katherine Brooks
Sheldon Turner
Ivan Raimi
Christopher Bertolini
Matthew Weisman
John Wrathall
John Hughes
Glen Charles
Taylor Hackford
David Ray
Jennifer Chambers Lynch
Bruno Podalydès
Peter S. Seaman
Rick Riordan
Ken Nolan
Daniel Clowes
J.M. Barrie
John Davies
Howard Lindsay
Craig Clyde
Melissa McCarthy
Joe Cornish
Joseph L. Mankiewicz
Peter Howitt
Richard Chapman
John Solomon
Jeff Nathanson
Michael Robert Johnson
Will Canon
Phil Lord
Ariel Vromen
Martin Booth
Valerie Martin
Christopher Nolan
Nick Bakay
Michael Cimino
Gilles Mimouni
Budd Schulberg
Ted A. Bohus
Jim Sharman
Joe Aaron
Myrna Sokoloff
Kevin McClory
Choderlos de Laclos
Andrew Davies
John A. Keel
J.F. Lawton
Duncan Brantley
Anthony Silverston
Robert Ludlum
Will Ferrell
Michael Leeson
Ronald Harwood
Seth Grahame-Smith
Joe Syracuse
David Loucka
Cory Helms
Hugh Wilson
Bill Lancaster
Jeff Reno
Michael Spierig
Adam Scheinman
Kevin Tenney
Marshall Houts
Don McKellar
Alexandre Rockwell
Barbara Turner
Etgar Keret
Cheryl L. West
Mark Andrew Olsen
Ben Coccio
Walter Reisch
Jeffrey Caine
Amanda Brody
Warren Adler
Oren Moverman
Bronte Woodard
David Wain
Sylvia Nasar
Michael Burke
Michael LeSieur
George Crile
Jeannie Long
Katherine Fugate
John Grisham
Julie Taymor
Andrew Knauer
Joseph D. Pistone
Maggie Carey
Michael Goldenberg
Richard Kwietniowski
Baz Luhrmann
Dennis Potter
Steve Levitt
Will McRobb
Chandulal Dalal
Jim Schutze
David Collard
John E. Moyer
Daniel Goldberg
Sooni Taraporevala
Brian Taylor
Michael Radford
Jerry Eeten
Jason Richman
Tim Meadows
Jordan Belfort
Jeffrey Bushell
Don Holley
Chuck Pfarrer
David Newhouse
Camille Keenan
Rick Berman
Alan Rudolph
Vincent Paronnaud
Fax Bahr
