Stuart Gillard
Tobe Hooper
Peter Kassovitz
Rich Cowan
Shane Meadows
Tony Bancroft
Nimród Antal
John Gulager
George Cukor
Walter Salles
Stefen Fangmeier
Jeff Kanew
Ariel Schulman
Francis Lawrence
Paul Haggis
Henry Hathaway
Werner Herzog
Rowan Joffe
Lee Tamahori
Gary McKendry
Mark Tarlov
Adrian Lyne
Jeffrey W. Byrd
Laurence Dunmore
Miguel Sapochnik
Rupert Wainwright
John Erick Dowdle
Robert Stevenhagen
Kevin Smith
Katherine Brooks
Vicky Jewson
Carol Reed
Bruce McCulloch
Joshua Overbay
Kirk Jones
Shari Springer Berman
Ken Shapiro
Bille Woodruff
Victor Vu
Catherine Hardwicke
Jay Duplass
Gene Teigland
Jimmy Hayward
John G. Avildsen
Jonathan Dayton
Gus Van Sant
Gary David Goldberg
Melvin Frank
Joe Pytka
Preston A. Whitmore II
Brett Ratner
Jesse Peretz
Joe Wright
Sandra Fierlinger
Mickey Liddell
Anne Fletcher
Danny Boyle
Sam Raimi
Hans Canosa
Robert Stevenson
Huck Botko
Efram Potelle
Steve Beck
Michael Ritchie
Ken Loach
David Nixon
Richard Stanley
David Lynch
Tony Richardson
Walt Becker
John Hillcoat
Eric Blakeney
Arthur Hiller
Quentin Tarantino
Chris Gorak
Frank Oz
Louis C.K.
William Malone
Douglas McGrath
Todd Solondz
Doug Lefler
Barbet Schroeder
Gerald Potterton
Nick Park
Billy Wilder
Kurt Wimmer
Jonathan Hensleigh
Ernesto Aguilar
RZA
Richard Lester
Norton Virgien
Alexandre Aja
Steve Carver
Gregory Hoblit
Bennett Miller
Andrew Haigh
Daisy von Scherler Mayer
Jean Yarbrough
Scott Derrickson
Brad Silberling
Chris Robinson
David R. Ellis
Lorene Scafaria
Sam Miller
Deryck Broom
Jeremy Gillespie
Meiert Avis
Marco Kreuzpaintner
Peter Farrelly
Joseph L. Mankiewicz
Phyllida Lloyd
Jason Eisener
Joel Gallen
Hal Needham
Danny Provenzano
Ed Gass-Donnelly
Alec Berg
Michel Hazanavicius
David S. Ward
Barbra Streisand
Asger Leth
Anand Tucker
Tom Walsh
King Jeff
Sydney Pollack
Bobcat Goldthwait
Edgar Wright
Iain Softley
Bob Giraldi
Tamara Jenkins
Lawrence Guterman
Bruno Barreto
Phil Traill
Steven Zaillian
Tatiana von Furstenberg
George Lucas
James Gunn
Trevor Moore
Jon Turteltaub
Penelope Spheeris
Daniel Barber
Troy Duffy
Hark Tsui
Jason Stone
Steve McQueen
Alan Taylor
Charles S. Dutton
Sharon Maguire
Jake Paltrow
Hugh Hudson
Bruce Hunt
Hoyt Yeatman
Michael O. Sajbel
Jeff Burr
Jamie Babbit
Christophe Ali
Patrick Lussier
George Nolfi
Tom Shadyac
Bonnie Hunt
Tom McGrath
Gordon Chan
Ethan Maniquis
David Ray
Danny Cannon
T. Hee
Joe Cornish
Terry Jones
Peter Howitt
Panos Cosmatos
Karyn Kusama
Will Canon
Ariel Vromen
John Dahl
Jim Field Smith
Michael Cimino
Harmage Singh Kalirai
Tom Dey
Lorna Cook
Jim Sharman
Anthony Silverston
Richard Fleischer
Jean Rollin
Greg Berlanti
Hugh Wilson
Saul Dibb
Michael Spierig
James Melkonian
Kevin Tenney
Alexandre Rockwell
Roland Joffé
Stephen Daldry
Roze
Byron Howard
Michael Burke
Jorge Blanco
Richard Kwietniowski
Baz Luhrmann
Brian Taylor
Michael Radford
Marc Webb
Shane Black
Alan Rudolph
Ken Annakin
Vincent Paronnaud
Jim Sonzero
Rusty Cundieff
Nicholas Ray
Chris Mason Johnson
Steve Carr
Tom Brady
Craig McCracken
Mike Judge
Bryan Barber
Randall Wallace
Gary Goldman
Steve James
John Madden
Bart Freundlich
David Koepp
Chris Roberts
William Bindley
Cameron Crowe
Josh Schwartz
Tim Burton
Lars von Trier
Hunter Richards
Chris Eyre
Tina Gordon Chism
Darren Aronofsky
Wych Kaosayananda
Tim McCanlies
Hironobu Sakaguchi
Thomas Vinterberg
Andrew Douglas
Nnegest Likké
Paul Mazursky
Tommy Wirkola
James Cameron
Nat Faxon
John Simpson
James Mottern
Barry Cook
David M. Evans
Marjane Satrapi
James Bridges
Andrew Davis
Nima Nourizadeh
Amat Escalante
Oren Peli
Katt Shea
Motonori Sakakibara
Peter Weir
Darren Grant
Elaine May
Mennan Yapo
Avi Nesher
Bruce McDonald
Michael McCullers
Gavin O'Connor
Vic Armstrong
Chris Stokes
Todd Lincoln
Steven E. de Souza
William Wyler
Richard Dutcher
Stuart Gordon
Shigeyasu Yamauchi
Joel Zwick
Igor Kovalyov
Gerard Johnstone
José Padilha
Jake Kasdan
Jugal Hansraj
Dan Harris
Dustin Hoffman
Peter Webber
Terry Gilliam
Peter Billingsley
Matt Dillon
Ted Kotcheff
Steve Taylor
Shana Feste
George Clooney
Rouben Mamoulian
Gavin Hood
Mark Christopher
Shona Auerbach
Antonia Bird
Bobby Farrelly
Craig Gillespie
Mark L. Lester
Thomas McCarthy
Elizabeth Allen Rosenbaum
John Stevenson
George Miller
Steve Boyum
Alexander Payne
Norman Jewison
Bradley Rust Gray
Matt Bettinelli-Olpin
John Landis
John Hamburg
