Movie Name,Release Date,Genre,Budget,Gross
Y Tu Mamá También, 2002/3/15,Drama,5000000.0,13649881.0
The Yards, 2000/10/20,Drama,20000000.0,882710.0
Year One, 2009/6/19,Comedy,60000000.0,43337279.0
The Yellow Handkerchief, 2010/2/26,Drama,15500000.0,318623.0
Yentl, 1983/11/18,Musical,12000000.0,39012241.0
Yes, 2005/6/24,Drama,1700000.0,396035.0
Yes Man, 2008/12/19,Comedy,50000000.0,97690976.0
Yesterday Was a Lie, 2008/1/17,Drama,200000.0,0.0
Yi dai zong shi, 2013/1/8,Action,38600000.0,6594959.0
Yoga Hosers, 2015/12/31,Adventure,5000000.0,0.0
Yogi Bear 3D, 2010/12/17,Adventure,80000000.0,100246011.0
You Again, 2010/9/24,Comedy,20000000.0,25702053.0
You Can Count on Me, 2000/11/10,Drama,1200000.0,9180275.0
You Don't Mess With the Zohan, 2008/6/6,Comedy,90000000.0,100018837.0
You Got Served, 2004/1/30,Drama,8000000.0,40066497.0
You Got Served: Beat The World, 2011/6/21,Drama,10000000.0,0.0
You Kill Me, 2007/6/22,Black Comedy,4000000.0,2426851.0
"You, Me and Dupree", 2006/7/14,Comedy,54000000.0,75802010.0
You Only Live Twice, 1967/6/13,Action,9500000.0,43100000.0
You Will Meet a Tall Dark Stranger, 2010/9/22,Drama,15000000.0,3247816.0
Young Adult, 2011/12/9,Comedy,12000000.0,16311571.0
Young Frankenstein, 1974/12/15,Comedy,2800000.0,86300000.0
Young Guns, 1988/8/12,Western,13000000.0,44726644.0
Young Sherlock Holmes, 1985/12/4,Adventure,18000000.0,19739000.0
The Young Victoria, 2009/12/18,Drama,35000000.0,11001272.0
Your Highness, 2011/4/8,Comedy,50000000.0,21596445.0
Your Sister's Sister, 2012/6/15,Drama,120000.0,1597486.0
"Yours, Mine and Ours", 2005/11/23,Comedy,45000000.0,53359917.0
Youth in Revolt, 2010/1/8,Comedy,18000000.0,15285588.0
You've Got Mail, 1998/12/18,Drama,65000000.0,115821495.0
Yu-Gi-Oh, 2004/8/13,Adventure,20000000.0,19762690.0
MacGruber, 2010/5/21,Comedy,10000000.0,8525600.0
Machete, 2010/9/3,Action,12500000.0,26593646.0
Machete Kills, 2013/10/11,Action,2000000.0,8008161.0
Machine Gun Preacher, 2011/9/23,Drama,30000000.0,538690.0
