Movie Name,Release Date,Genre,Budget,Gross,RT Critic Label,RT Critic Rating,RT Audience Label,RT Audience Rating,IMDB Rating,Directors,Producers,Sreenwriters,Actors
Yes Man, 2008/12/19,Comedy,50000000.0,97690976.0,Rotten,45%,Upright,66%,6.9,Peyton Reed,Richard D. Zanuck|David Heyman,Nicholas Stoller|Jarrad Paul|Andrew Mogel,Jim Carrey|Zooey Deschanel|Bradley Cooper|John Michael Higgins|Rhys Darby
Wanderlust, 2012/2/24,Comedy,32500000.0,17288155.0,Rotten,59%,Spilled,40%,5.6,David Wain,Judd Apatow|Ken Marino|Paul Rudd|David Wain,Ken Marino|David Wain,Paul Rudd|Jennifer Aniston|Justin Theroux|Alan Alda|Malin Akerman
Gremlins, 1984/6/8,Comedy,11000000.0,148168459.0,Certified Fresh,84%,Upright,77%,7.2,Joe Dante,Michael Finnell,Chris Columbus,Zach Galligan|Phoebe Cates|Hoyt Axton|Polly Holliday|Frances Lee McCain
Life of Pi, 2012/11/21,Drama,120000000.0,124987022.0,Certified Fresh,87%,Upright,84%,8.0,Ang Lee,Gil Netter|David Womark|Ang Lee,David Magee,Suraj Sharma|Irrfan Khan|Gita Patel|Rafe Spall|Gerard Depardieu
Cradle 2 the Grave, 2003/2/28,Action,25000000.0,34657731.0,Rotten,26%,Spilled,53%,5.7,Andrzej Bartkowiak,Joel Silver,John O'Brien|Channing Gibson,Jet Li|DMX|Anthony Anderson|Kelly Hu|Tom Arnold
The Host, 2013/3/29,Thriller/Suspense,50000000.0,26623701.0,Fresh,60%,Spilled,20%,5.9,Andrew Niccol,Nick Wechsler|Steve Schwartz|Paula Mae Schwartz,Andrew Niccol,Saoirse Ronan|Jake Abel|Max Irons|Diane Kruger|William Hurt
Side Effects, 2013/2/8,Thriller/Suspense,30000000.0,32172757.0,Certified Fresh,83%,Upright,70%,7.1,Steven Soderbergh,Lorenzo di Bonaventura|Gregory Jacobs|Scott Z. Burns,Scott Z. Burns,Jude Law|Rooney Mara|Catherine Zeta-Jones|Channing Tatum|Carmen Pelaez
Grace Unplugged, 2013/10/4,Drama,1700000.0,2507159.0,Rotten,50%,Upright,81%,5.9,Brad J. Silverman,Russ Rice|Larry Frenzel|Christopher M. Zarpas|Robert E. Norton,Brad J. Silverman,A.J. Michalka|James Denton|Kevin Pollak|Michael Welch|Shawnee Smith
Silent Hill: Revelation 3D, 2012/10/26,Horror,20000000.0,17530219.0,Rotten,5%,Spilled,36%,5.0,Michael J. Bassett,Samuel Hadida|Don Carmody,Michael J. Bassett,Adelaide Clemens|Kit Harington|Carrie Anne Moss|Sean Bean|Radha Mitchell
The Blind Side, 2009/11/20,Drama,35000000.0,255959475.0,Fresh,66%,Upright,85%,7.7,John Lee Hancock,Gil Netter|Andrew A. Kosove|Broderick Johnson,John Lee Hancock,Sandra Bullock|Tim McGraw|Quinton Aaron|Jae Head|Lily Collins
Blade, 1998/8/21,Action,45000000.0,70141876.0,Rotten,55%,Upright,78%,7.1,Stephen Norrington,Peter Frankfurt|Wesley Snipes|Robert Engelman,David S. Goyer,Wesley Snipes|Stephen Dorff|Kris Kristofferson|N'Bushe Wright|Donal Logue
L.A. Confidential, 1997/9/19,Drama,35000000.0,64604977.0,Certified Fresh,99%,Upright,94%,8.3,Curtis Hanson,Arnon Milchan|Curtis Hanson|Michael Nathanson,Brian Helgeland|Curtis Hanson,Kevin Spacey|Russell Crowe|Guy Pearce|Kim Basinger|Danny De Vito
We're the Millers, 2013/8/7,Comedy,37000000.0,150394119.0,Rotten,47%,Upright,72%,7.1,Rawson Thurber,Vincent Newman|Tucker Tooley|Chris Bender,Bob Fisher|Sean Anders|Steve Faber|John Morris,Jennifer Aniston|Jason Sudeikis|Will Poutler|Emma Roberts|Ed Helms
"Crazy, Stupid, Love", 2011/7/29,Comedy,50000000.0,84351197.0,Certified Fresh,78%,Upright,77%,7.5,Glenn Ficarra|John Requa,Steve Carell|Denise Di Novi,Dan Fogelman,Steve Carell|Ryan Gosling|Julianne Moore|Emma Stone|Analeigh Tipton
Stargate, 1994/10/28,Action,55000000.0,71565669.0,Rotten,48%,Upright,74%,7.0,Roland Emmerich,Dean Devlin|Oliver Eberle|Joel B. Michaels,Roland Emmerich|Dean Devlin,Kurt Russell|James Spader|Jaye Davidson|Viveca Lindfors|Alexis Cruz
"Definitely, Maybe", 2008/2/14,Romantic Comedy,7000000.0,32241649.0,Certified Fresh,70%,Upright,71%,7.2,Adam Brooks,Tim Bevan|Eric Fellner,Adam Brooks,Ryan Reynolds|Isla Fisher|Derek Luke|Abigail Breslin|Elizabeth Banks
Domestic Disturbance, 2001/11/2,Thriller/Suspense,53000000.0,45207112.0,Rotten,23%,Spilled,38%,5.5,Harold Becker,Jonathan D. Krane|Donald De Line,Lewis Colick,John Travolta|Vince Vaughn|Teri Polo|Steve Buscemi|Matthew O'Leary
The Muppets, 2011/11/23,Comedy,45000000.0,88625922.0,Certified Fresh,96%,Upright,80%,7.2,James Bobin,David Hoberman|Todd Lieberman,Jason Segel|Nicholas Stoller,Jason Segel|Amy Adams|Chris Cooper|Rashida Jones|Steve Whitmire
