Movie Name,Actor
The Yards,Mark Wahlberg
The Yards,Joaquin Phoenix
The Yards,Charlize Theron
Year One,Jack Black
Year One,Michael Cera
Year One,Olivia Wilde
The Yellow Handkerchief,William Hurt
The Yellow Handkerchief,Maria Bello
The Yellow Handkerchief,Kristen Stewart
Yentl,Barbra Streisand
Yentl,Amy Irving
Yentl,Mandy Patinkin
Yes,Joan Allen
Yes,Simon Abkarian
Yes,Sam Neill
Yes Man,Jim Carrey
Yes Man,Zooey Deschanel
Yes Man,Bradley Cooper
Yesterday Was a Lie,Kipleigh Brown
Yesterday Was a Lie,Chase Masterson
Yesterday Was a Lie,John Newton
Yoga Hosers,Haley Joel Osment
Yoga Hosers,Johnny Depp
Yoga Hosers,Genesis Rodriguez
Yogi Bear 3D,Dan Aykroyd
Yogi Bear 3D,Justin Timberlake
Yogi Bear 3D,Anna Faris
You Again,Kristen Bell
You Again,Odette Annable
You Again,Sigourney Weaver
You Can Count on Me,Laura Linney
You Can Count on Me,Matthew Broderick
You Can Count on Me,Mark Ruffalo
You Don't Mess With the Zohan,Adam Sandler
You Don't Mess With the Zohan,John Turturro
You Don't Mess With the Zohan,Emmanuelle Chriqui
You Got Served,Omarion Grandberry
You Got Served,J-Boog
You Got Served,Raz B
You Kill Me,Ben Kingsley
You Kill Me,Téa Leoni
You Kill Me,Luke Wilson
"You, Me and Dupree",Kate Hudson
"You, Me and Dupree",Owen Wilson
"You, Me and Dupree",Matt Dillon
You Only Live Twice,Sean Connery
You Only Live Twice,Akiko Wakabayashi
You Only Live Twice,Mie Hama
You Will Meet a Tall Dark Stranger,Anthony Hopkins
You Will Meet a Tall Dark Stranger,Naomi Watts
You Will Meet a Tall Dark Stranger,Josh Brolin
Young Adult,Charlize Theron
Young Adult,Patrick Wilson
Young Adult,Patton Oswalt
Young Frankenstein,Gene Wilder
Young Frankenstein,Madeline Kahn
Young Frankenstein,Marty Feldman
Young Guns,Emilio Estevez
Young Guns,Kiefer Sutherland
Young Guns,Lou Diamond Phillips
Young Sherlock Holmes,Nicholas Rowe
Young Sherlock Holmes,Alan Cox
Young Sherlock Holmes,Sophie Ward
The Young Victoria,Emily Blunt
The Young Victoria,Rupert Friend
The Young Victoria,Paul Bettany
Your Highness,Danny McBride
Your Highness,Natalie Portman
Your Highness,James Franco
Your Sister's Sister,Mark Duplass
Your Sister's Sister,Emily Blunt
Your Sister's Sister,Rosemarie DeWitt
"Yours, Mine and Ours",Lucille Ball
"Yours, Mine and Ours",Henry Fonda
"Yours, Mine and Ours",Van Johnson
Youth in Revolt,Michael Cera
Youth in Revolt,Portia Doubleday
Youth in Revolt,Ray Liotta
You've Got Mail,Tom Hanks
You've Got Mail,Meg Ryan
You've Got Mail,Greg Kinnear
MacGruber,Will Forte
MacGruber,Kristen Wiig
MacGruber,Val Kilmer
Machete,Danny Trejo
Machete,Michelle Rodriguez
Machete,Robert De Niro
Machete Kills,Danny Trejo
Machete Kills,Alexa PenaVega
Machete Kills,Mel Gibson
Machine Gun Preacher,Gerard Butler
Machine Gun Preacher,Michelle Monaghan
Machine Gun Preacher,Michael Shannon
The Machinist,Christian Bale
The Machinist,Jennifer Jason Leigh
The Machinist,Aitana Sánchez-Gijón
Mad City,John Travolta
Mad City,Dustin Hoffman
Mad City,Alan Alda
Mad Hot Ballroom,Heather Berman
Mad Hot Ballroom,Emma Therese Biegacki
Mad Hot Ballroom,Eva Carrozza
Mad Max,Mel Gibson
Mad Max,Joanne Samuel
Mad Max,Hugh Keays-Byrne
Mad Max Beyond Thunderdome,Mel Gibson
Mad Max Beyond Thunderdome,Tina Turner
Mad Max Beyond Thunderdome,Bruce Spence
Mad Money,Diane Keaton
Mad Money,Queen Latifah
Mad Money,Katie Holmes
Madadayo,Tatsuo Matsumura
Madadayo,Kyôko Kagawa
Madadayo,Hisashi Igawa
Madagascar,Chris Rock
Madagascar,Ben Stiller
Madagascar,David Schwimmer
Madagascar 3: Europe's Most Wanted,Ben Stiller
Madagascar 3: Europe's Most Wanted,Jada Pinkett Smith
Madagascar 3: Europe's Most Wanted,Chris Rock
Madagascar: Escape 2 Africa,Ben Stiller
Madagascar: Escape 2 Africa,Chris Rock
Madagascar: Escape 2 Africa,David Schwimmer
Made,Vince Vaughn
Made,Jon Favreau
Made,Joe Goossen
Made in Dagenham,Sally Hawkins
Made in Dagenham,Bob Hoskins
Made in Dagenham,Andrea Riseborough
Made of Honor,Patrick Dempsey
Made of Honor,Michelle Monaghan
Made of Honor,Kevin McKidd
Madea Goes To Jail,Tyler Perry
Madea Goes To Jail,Keshia Knight Pulliam
Madea Goes To Jail,Derek Luke
Madea's Family Reunion,Tyler Perry
Madea's Family Reunion,Blair Underwood
Madea's Family Reunion,Lynn Whitfield
Madison,Jim Caviezel
Madison,Mary McCormack
Madison,Jake Lloyd
Maggie,Arnold Schwarzenegger
Maggie,Abigail Breslin
Maggie,Joely Richardson
The Magic Flute,Joseph Kaiser
The Magic Flute,Amy Carson
The Magic Flute,René Pape
Magic Mike,Channing Tatum
Magic Mike,Alex Pettyfer
Magic Mike,Olivia Munn
Magnolia,Tom Cruise
Magnolia,Jason Robards
Magnolia,Julianne Moore
Maid in Manhattan,Jennifer Lopez
Maid in Manhattan,Ralph Fiennes
Maid in Manhattan,Natasha Richardson
The Maid's Room,Paula Garcés
The Maid's Room,Annabella Sciorra
The Maid's Room,Bill Camp
The Majestic,Jim Carrey
The Majestic,Martin Landau
The Majestic,Bob Balaban
Major Dundee,Charlton Heston
Major Dundee,Richard Harris
Major Dundee,Jim Hutton
Major League,Tom Berenger
Major League,Charlie Sheen
Major League,Corbin Bernsen
Malcolm X,Denzel Washington
Malcolm X,Angela Bassett
Malcolm X,Delroy Lindo
Maleficent,Angelina Jolie
Maleficent,Elle Fanning
Maleficent,Sharlto Copley
Malevolence,R. Brandon Johnson
Malevolence,Samantha Dark
Malevolence,Heather Magee
Malibu's Most Wanted,Jamie Kennedy
Malibu's Most Wanted,Ryan O'Neal
Malibu's Most Wanted,Blair Underwood
Mallrats,Shannen Doherty
Mallrats,Jeremy London
Mallrats,Jason Lee
Mama,Jessica Chastain
Mama,Nikolaj Coster-Waldau
Mama,Megan Charpentier
Mamma Mia!,Meryl Streep
Mamma Mia!,Pierce Brosnan
Mamma Mia!,Amanda Seyfried
A Man Apart,Vin Diesel
A Man Apart,Timothy Olyphant
A Man Apart,Larenz Tate
The Man From Earth,David Lee Smith
The Man From Earth,Tony Todd
The Man From Earth,John Billingsley
The Man From Snowy River,Kirk Douglas
The Man From Snowy River,Tom Burlinson
The Man From Snowy River,Terence Donovan
The Man in the Iron Mask,Leonardo DiCaprio
The Man in the Iron Mask,Jeremy Irons
The Man in the Iron Mask,John Malkovich
Man of Steel,Henry Cavill
Man of Steel,Amy Adams
Man of Steel,Michael Shannon
Man of the House,Tommy Lee Jones
Man of the House,Christina Milian
Man of the House,Kelli Garner
Man of the Year,Robin Williams
Man of the Year,Laura Linney
Man of the Year,Lewis Black
Man on Fire,Denzel Washington
Man on Fire,Christopher Walken
Man on Fire,Dakota Fanning
Man on a Ledge,Sam Worthington
Man on a Ledge,Elizabeth Banks
Man on a Ledge,Jamie Bell
Man on the Moon,Jim Carrey
Man on the Moon,Danny DeVito
Man on the Moon,Gerry Becker
Man on Wire,Philippe Petit
Man on Wire,Jean François Heckel
Man on Wire,Jean-Louis Blondeau
The Man,Samuel L. Jackson
The Man,Eugene Levy
The Man,Miguel Ferrer
The Man Who Knew Too Little,Bill Murray
The Man Who Knew Too Little,Joanne Whalley
The Man Who Knew Too Little,Peter Gallagher
The Man with the Golden Gun,Roger Moore
The Man with the Golden Gun,Christopher Lee
The Man with the Golden Gun,Britt Ekland
The Man with the Iron Fists,Russell Crowe
The Man with the Iron Fists,Cung Le
The Man with the Iron Fists,Lucy Liu
The Manchurian Candidate,Denzel Washington
The Manchurian Candidate,Liev Schreiber
The Manchurian Candidate,Meryl Streep
Mandela: Long Walk to Freedom,Idris Elba
Mandela: Long Walk to Freedom,Naomie Harris
Mandela: Long Walk to Freedom,Terry Pheto
Manderlay,Bryce Dallas Howard
Manderlay,Isaach De Bankolé
Manderlay,Danny Glover
Mao's Last Dancer,Chi Cao
Mao's Last Dancer,Bruce Greenwood
Mao's Last Dancer,Kyle MacLachlan
Marci X,Lisa Kudrow
Marci X,Damon Wayans
Marci X,Richard Benjamin
Margaret,Anna Paquin
Margaret,Matt Damon
Margaret,Mark Ruffalo
Margin Call,Zachary Quinto
Margin Call,Stanley Tucci
Margin Call,Kevin Spacey
Maria Full of Grace,Catalina Sandino Moreno
Maria Full of Grace,Guilied Lopez
Maria Full of Grace,Orlando Tobón
The Adventurer: The Curse of the Midas Box,Michael Sheen
The Adventurer: The Curse of the Midas Box,Lena Headey
The Adventurer: The Curse of the Midas Box,Sam Neill
Marie Antoinette,Kirsten Dunst
Marie Antoinette,Jason Schwartzman
Marie Antoinette,Rip Torn
The Marine,John Cena
The Marine,Kelly Carlson
The Marine,Robert Patrick
Marmaduke,Owen Wilson
Marmaduke,Judy Greer
Marmaduke,Lee Pace
Married Life,Chris Cooper
Married Life,Patricia Clarkson
Married Life,Rachel McAdams
Mars Attacks!,Jack Nicholson
Mars Attacks!,Pierce Brosnan
Mars Attacks!,Sarah Jessica Parker
Mars Needs Moms,Seth Green
Mars Needs Moms,Joan Cusack
Mars Needs Moms,Dan Fogler
Martha Marcy May Marlene,Elizabeth Olsen
Martha Marcy May Marlene,Sarah Paulson
Martha Marcy May Marlene,John Hawkes
Marvin's Room,Meryl Streep
Marvin's Room,Leonardo DiCaprio
Marvin's Room,Diane Keaton
Mary Poppins,Julie Andrews
Mary Poppins,Dick Van Dyke
Mary Poppins,David Tomlinson
Mary Reilly,Julia Roberts
Mary Reilly,John Malkovich
Mary Reilly,George Cole
The Mask of Zorro,Antonio Banderas
The Mask of Zorro,Anthony Hopkins
The Mask of Zorro,Catherine Zeta-Jones
The Mask,Jim Carrey
The Mask,Cameron Diaz
The Mask,Peter Riegert
Masked and Anonymous,Bob Dylan
Masked and Anonymous,John Goodman
Masked and Anonymous,Jessica Lange
Master and Commander: The Far Side of the World,Russell Crowe
Master and Commander: The Far Side of the World,Paul Bettany
Master and Commander: The Far Side of the World,Billy Boyd
The Master of Disguise,Dana Carvey
The Master of Disguise,Jennifer Esposito
The Master of Disguise,Harold Gould
The Master,Philip Seymour Hoffman
The Master,Joaquin Phoenix
The Master,Amy Adams
The Matador,Pierce Brosnan
The Matador,Greg Kinnear
The Matador,Hope Davis
Match Point,Scarlett Johansson
Match Point,Jonathan Rhys Meyers
Match Point,Emily Mortimer
The Matrix Reloaded,Keanu Reeves
The Matrix Reloaded,Laurence Fishburne
The Matrix Reloaded,Carrie-Anne Moss
The Matrix Revolutions,Keanu Reeves
The Matrix Revolutions,Laurence Fishburne
The Matrix Revolutions,Carrie-Anne Moss
The Matrix,Keanu Reeves
The Matrix,Laurence Fishburne
The Matrix,Carrie-Anne Moss
