Movie Name,Type,Value
The Yards,Director,James Gray
The Yards,Writer,James Gray
The Yards,Writer,Matt Reeves
The Yards,Producer,Miramax Films
Year One,Director,Harold Ramis
Year One,Writer,Harold Ramis
Year One,Writer,Gene Stupnitsky
Year One,Producer,Columbia Pictures
The Yellow Handkerchief,Director,Udayan Prasad
The Yellow Handkerchief,Writer,Pete Hamill
The Yellow Handkerchief,Writer,Erin Dignam
The Yellow Handkerchief,Producer,Arthur Cohn Productions
Yentl,Director,Barbra Streisand
Yentl,Writer,Jack Rosenthal
Yentl,Writer,Barbra Streisand
Yentl,Producer,United Artists
Yes,Director,Sally Potter
Yes,Writer,Sally Potter
Yes,Producer,Adventure Pictures
Yes Man,Director,Peyton Reed
Yes Man,Writer,Nicholas Stoller
Yes Man,Writer,Jarrad Paul
Yes Man,Producer,Warner Bros.
Yesterday Was a Lie,Director,James Kerwin
Yesterday Was a Lie,Writer,James Kerwin
Yesterday Was a Lie,Producer,Helicon Arts Cooperative
Yoga Hosers,Director,Kevin Smith
Yoga Hosers,Writer,Kevin Smith
Yoga Hosers,Producer,Abbolita Productions
Yogi Bear 3D,Director,Eric Brevig
Yogi Bear 3D,Writer,J.R. Ventimilia
Yogi Bear 3D,Writer,Joshua Sternin
Yogi Bear 3D,Producer,Warner Bros.
You Again,Director,Andy Fickman
You Again,Writer,Moe Jelline
You Again,Producer,Touchstone Pictures
You Can Count on Me,Director,Kenneth Lonergan
You Can Count on Me,Writer,Kenneth Lonergan
You Can Count on Me,Producer,Hart-Sharp Entertainment
You Don't Mess With the Zohan,Director,Dennis Dugan
You Don't Mess With the Zohan,Writer,Adam Sandler
You Don't Mess With the Zohan,Writer,Robert Smigel
You Don't Mess With the Zohan,Producer,Columbia Pictures
You Got Served,Director,Chris Stokes
You Got Served,Writer,Chris Stokes
You Got Served,Producer,Screen Gems
You Kill Me,Director,John Dahl
You Kill Me,Writer,Christopher Markus
You Kill Me,Writer,Stephen McFeely
You Kill Me,Producer,Bipolar Pictures
"You, Me and Dupree",Director,Anthony Russo
"You, Me and Dupree",Director,Joe Russo
"You, Me and Dupree",Writer,Michael LeSieur
"You, Me and Dupree",Producer,Universal Pictures
You Only Live Twice,Director,Lewis Gilbert
