Movie Name,IMDB Rating
The Yards,6.4
Year One,4.9
The Yellow Handkerchief,6.9
Yentl,6.6
Yes,6.5
Yes Man,6.9
Yesterday Was a Lie,5.4
Yogi Bear 3D,4.5
You Again,5.8
You Can Count on Me,7.7
You Don't Mess With the Zohan,5.5
You Got Served,3.3
You Kill Me,6.5
"You, Me and Dupree",5.6
You Only Live Twice,6.9
You Will Meet a Tall Dark Stranger,6.3
Young Adult,6.3
Young Frankenstein,8.1
Young Guns,6.8
Young Sherlock Holmes,6.8
The Young Victoria,7.3
Your Highness,5.6
Your Sister's Sister,6.7
"Yours, Mine and Ours",7.1
Youth in Revolt,6.5
You've Got Mail,6.5
MacGruber,5.4
Machete,6.7
Machete Kills,5.7
Machine Gun Preacher,6.8
The Machinist,7.8
Mad City,6.2
Mad Hot Ballroom,7.6
Mad Max,7.0
Mad Max Beyond Thunderdome,6.2
Mad Money,5.7
Madadayo,7.5
Madagascar,6.9
Madagascar 3: Europe's Most Wanted,7.0
Madagascar: Escape 2 Africa,6.7
Made,6.5
Made in Dagenham,7.2
Made of Honor,5.8
Madea Goes To Jail,3.9
Madea's Family Reunion,4.8
Madison,6.4
The Magic Flute,6.6
Magic Mike,6.1
Magnolia,8.0
Maid in Manhattan,4.9
The Maid's Room,4.6
The Majestic,6.9
Major Dundee,6.8
Major League,7.2
Malcolm X,7.7
Maleficent,7.2
Malevolence,5.1
Malibu's Most Wanted,5.0
Mallrats,7.2
Mama,6.3
Mamma Mia!,6.4
A Man Apart,6.1
The Man From Earth,8.0
The Man From Snowy River,7.2
The Man in the Iron Mask,6.4
Man of Steel,7.3
Man of the House,5.4
Man of the Year,6.2
Man on Fire,7.8
Man on a Ledge,6.6
Man on the Moon,7.5
Man on Wire,7.9
The Man,5.5
The Man Who Knew Too Little,6.6
The Man with the Golden Gun,6.8
The Man with the Iron Fists,5.4
The Manchurian Candidate,6.6
Mandela: Long Walk to Freedom,7.1
Manderlay,7.4
Mao's Last Dancer,7.4
Marci X,2.7
Margaret,6.4
Margin Call,7.1
Maria Full of Grace,7.5
The Adventurer: The Curse of the Midas Box,5.4
Marie Antoinette,6.4
The Marine,4.6
Marmaduke,4.1
Married Life,6.3
Mars Attacks!,6.3
Mars Needs Moms,5.4
Martha Marcy May Marlene,7.0
Marvin's Room,6.7
Mary Poppins,7.8
Mary Reilly,5.8
The Mask of Zorro,6.7
The Mask,6.8
Masked and Anonymous,5.5
Master and Commander: The Far Side of the World,7.4
The Master of Disguise,3.3
The Master,7.1
The Matador,6.8
Match Point,7.7
The Matrix Reloaded,7.2
The Matrix Revolutions,6.7
The Matrix,8.7
Max Keeble's Big Move,5.3
Max Payne,5.4
Maximum Risk,5.3
McHale's Navy,4.3
Me and Orson Welles,6.8
Me and You and Everyone We Know,7.4
"Me, Myself & Irene",6.5
Mean Creek,7.3
Mean Girls,7.0
The Mechanic,6.5
The Medallion,5.0
Medicine Man,5.9
Meek's Cutoff,6.5
Meet Dave,4.9
Meet Joe Black,7.1
Meet the Browns,3.8
Meet the Deedles,3.8
Meet the Fockers,6.3
Meet the Parents,7.0
Meet the Spartans,2.6
Megaforce,3.4
Megamind,7.3
Melancholia,7.1
Memento,8.5
Memoirs of a Geisha,7.3
Memoirs of an Invisible Man,5.9
Men in Black,7.2
Men in Black 2,6.0
Men in Black 3,6.9
Men of Honor,7.1
The Men Who Stare at Goats,6.3
Men with Brooms,5.9
Menace II Society,7.5
The Merchant of Venice,7.1
Mercury Rising,6.0
Mercy Streets,5.6
Message in a Bottle,6.1
The Messenger,7.2
The Messengers,5.4
Metallica Through the Never,7.3
Meteor,4.9
The Mexican,6.1
Miami Vice,6.0
Michael Clayton,7.3
Michael Collins,7.1
Mickey Blue Eyes,5.8
Micmacs,7.2
Midnight Cabaret,4.5
Midnight in Paris,7.7
Midnight in the Garden of Good and Evil,6.6
Midnight Meat Train,6.2
Midnight Run,7.6
The Mighty Ducks,6.4
A Mighty Heart,6.7
Mighty Joe Young,5.5
The Mighty Macs,6.5
The Mighty,7.3
A Mighty Wind,7.3
Milk,7.7
Million Dollar Arm,7.3
Million Dollar Baby,8.1
A Million Ways to Die in The West,6.2
Mindhunters,6.4
Minority Report,7.7
Miracle at St. Anna,6.0
Miracle,7.5
The Mirror Has Two Faces,6.4
Mirror Mirror,5.6
MirrorMask,7.0
Mirrors,6.2
Les Miserables,6.9
Miss Congeniality,6.1
Miss Congeniality 2: Armed and Fabulous,4.9
Miss March,5.0
Miss Potter,7.0
The Missing,6.5
Mission: Impossible,7.1
Mission: Impossible 2,6.0
Mission: Impossible III,6.8
Mission: Impossible - Ghost Protocol,7.4
Mission to Mars,5.5
The Mist,7.2
Mo' Better Blues,6.5
Moby Dick,7.4
Modern Problems,4.9
