Movie Name,Release Date,Genre,Budget,Gross Revenue,Url
Y Tu Mamá También,"Mar 15, 2002",Drama,"$5,000,000","$13,649,881",/movie/Y-Tu-Mama-Tambien#tab=summary
Ya ne vernus,"Dec 31, 2014",, ,$0,/movie/Ya-ne-vernus#tab=summary
Ya Rab,"Mar 7, 2014",Drama, ,$0,/movie/Ya-Rab#tab=summary
Yaadein,"Jul 27, 2001",Drama, ,"$645,615",/movie/Yaadein#tab=summary
Yaavarum Nalam,"Mar 6, 2009",, ,"$36,594",/movie/Yaavarum-Nalam#tab=summary
The Yakuza and the Mermaid,"Sep 28, 2012",Drama, ,$0,/movie/Yakuza-and-the-Mermaid-The#tab=summary
Yama no Anata: Tokuichi no Koi,"Dec 31, 2008",, ,$0,/movie/Yama-no-Anata-Tokuichi-no-Koi#tab=summary
Yamla Pagla Deewana,"Jan 14, 2011",Comedy, ,"$971,240",/movie/Yamla-Pagla-Deewana#tab=summary
Yana's Friends,"Dec 1, 2000",, ,"$6,954",/movie/Yanas-Friends#tab=summary
Yang Ban XI,"Mar 31, 2006",, ,"$21,244",/movie/Yang-Ban-XI#tab=summary
Yang Shan Zhou,"Dec 31, 2011",, ,$0,/movie/Yang-Shan-Zhou#tab=summary
Yangsi,"Dec 7, 2012",Documentary, ,"$3,685",/movie/Yangsi#tab=summary
A Yank in the R.A.F.,"Jan 1, 1941",, ,"$4,000,000",/movie/Yank-in-the-R-A-F-A#tab=summary
Yankee Doodle Dandy,"Jun 6, 1942",, ,"$11,800,000",/movie/Yankee-Doodle-Dandy#tab=summary
The Yankles,"Jun 5, 2012",Comedy, ,$0,/movie/Yankles-The#tab=summary
Yanks,"Jun 1, 2010",Drama, ,$0,/movie/Yanks#tab=summary
Yao a yao yao dao waipo qiao,"Dec 20, 1995",Drama, ,"$1,900,504",/movie/Yao-a-yao-yao-dao-waipo-qiao#tab=summary
The Yards,"Oct 20, 2000",Drama,"$20,000,000","$882,710",/movie/Yards-The#tab=summary
Yattàman,"Dec 31, 2009",, ,$0,/movie/Yattaman#tab=summary
Ye Shanghai,"Dec 31, 2007",, ,$0,/movie/Ye-Shanghai#tab=summary
A Year in Burgundy,"Dec 3, 2013",Documentary, ,$0,/movie/Year-in-Burgundy-A#tab=summary
Hide Away,"May 25, 2012",Drama, ,"$30,655",/movie/Year-in-Mooring-A#tab=summary
The Year of Living Biblically,"Dec 31, 2011",Comedy, ,$0,/movie/Year-of-Living-Biblically-The#tab=summary
The Year of Living Dangerously,"Jan 21, 1983",Drama, ,"$8,601,065",/movie/Year-of-Living-Dangerously-The#tab=summary
Year of the Comet,"Jan 1, 1992",, ,"$2,791,515",/movie/Year-of-the-Comet#tab=summary
Year of the Dog,"Apr 13, 2007",Drama, ,"$1,540,141",/movie/Year-of-the-Dog#tab=summary
Year of the Dragon,"Aug 16, 1985",Drama, ,"$18,707,466",/movie/Year-of-the-Dragon#tab=summary
Year of the Fish,"Aug 29, 2008",Adventure, ,$0,/movie/Year-of-the-Fish#tab=summary
Year of the Gun,"Nov 1, 1991",, ,"$11,820,000",/movie/Year-of-the-Gun#tab=summary
Year of the Horse,"Oct 8, 1997",, ,"$243,094",/movie/Year-of-the-Horse#tab=summary
The Year of Yao,"Apr 15, 2005",Documentary, ,"$34,699",/movie/Year-of-Yao-The#tab=summary
Year One,"Jun 19, 2009",Comedy,"$60,000,000","$43,337,279",/movie/Year-One#tab=summary
The Year Without a Santa Claus ,"Sep 28, 1999",Adventure, ,$0,/movie/Year-Without-a-Santa-Claus-The#tab=summary
The Yearling,"Dec 18, 1946",, ,"$5,200,000",/movie/Yearling-The#tab=summary
Yeh Jawaani Hai Deewani,"May 31, 2013",, ,"$3,827,466",/movie/Yeh-Jawaani-Hai-Deewani#tab=summary
Yella,"May 16, 2008",Drama, ,"$30,309",/movie/Yella#tab=summary
Yelling to the Sky,"Dec 14, 2012",Drama, ,$0,/movie/Yelling-at-the-Sky#tab=summary
Yellow,"Jun 22, 2007",Drama, ,$0,/movie/Yellow#tab=summary
Yellow,"Aug 29, 2014",Drama, ,$0,/movie/Yellow-(2012)#tab=summary
Yellow Asphalt,"Mar 15, 2002",, ,"$8,172",/movie/Yellow-Asphalt#tab=summary
Yellow Day,"Dec 31, 2014",Adventure, ,$0,/movie/Yellow-Day#tab=summary
The Yellow Handkerchief,"Feb 26, 2010",Drama,"$15,500,000","$318,623",/movie/Yellow-Handkerchief-The#tab=summary
The Yellow Mark,"Dec 31, 2011",Action, ,$0,/movie/Yellow-Mark-The#tab=summary
Yellow Rock,"Dec 31, 2011",Western, ,$0,/movie/Yellow-Rock#tab=summary
Yellow Sky,"Jan 1, 1948",, ,"$5,600,000",/movie/Yellow-Sky#tab=summary
Yellow Submarine,"Jun 5, 2012",Musical, ,$0,/movie/Yellow-Submarine#tab=summary
Yellow Submarine,"Dec 31, 2011",Adventure, ,$0,/movie/Yellow-Submarine-(Remake)#tab=summary
Yellowbeard,"Jun 24, 1983",Comedy, ,"$4,300,000",/movie/Yellowbeard#tab=summary
Yellowbrickroad,"Aug 2, 2011",Horror, ,$0,/movie/Yellowbrickroad#tab=summary
Yentl,"Nov 18, 1983",Musical,"$12,000,000","$39,012,241",/movie/Yentl#tab=summary
Yeok-rin,"May 23, 2014",Drama, ,$0,/movie/Yeok-rin#tab=summary
Yeongashi,"Jul 5, 2012",Drama, ,$0,/movie/Yeongashi#tab=summary
Yes,"Jun 24, 2005",Drama,"$1,700,000","$396,035",/movie/Yes#tab=summary
"Yes, Giorgio","Sep 24, 1982",Comedy, ,"$1,368,588",/movie/Yes-Giorgio#tab=summary
Yes Man,"Dec 19, 2008",Comedy,"$50,000,000","$97,690,976",/movie/Yes-Man#tab=summary
Yes Men,"Sep 24, 2004",Documentary, ,"$198,975",/movie/Yes-Men#tab=summary
The Yes Men Are Revolting,"Dec 31, 2014",Documentary, ,$0,/movie/Yes-Men-Are-Revolting-The#tab=summary
The Yes Men Fix the World,"Oct 7, 2009",Documentary, ,"$195,037",/movie/Yes-Men-Fix-the-World-The#tab=summary
Yes Nurse! No Nurse!,"Sep 3, 2004",Musical, ,"$13,224",/movie/Yes-Nurse-No-Nurse#tab=summary
Yesterday Was a Lie,"Jan 17, 2008",Drama,"$200,000",$0,/movie/Yesterday-Was-a-Lie#tab=summary
Yi dai zong shi,"Jan 8, 2013",Action,"$38,600,000","$6,594,959",/movie/Yi-dai-zong-shi#tab=summary
Yi Ge Dou Bu Neng Shao,"Feb 18, 2000",Drama, ,"$589,114",/movie/Yi-Ge-Dou-Bu-Neng-Shao#tab=summary
Yi jiu si er,"Nov 30, 2012",Drama, ,"$212,475",/movie/Yi-jiu-si-er#tab=summary
Yi ngoi,"Jun 12, 2012",Thriller/Suspense, ,$0,/movie/Yi-ngoi#tab=summary
Yi Sheng Yi Shi,"Sep 5, 2014",Drama, ,"$311,564",/movie/Yi-Sheng-Yi-Shi#tab=summary
Yi Yi,"Oct 6, 2000",Drama, ,"$1,136,776",/movie/Yi-Yi#tab=summary
the Yiddish Policemen's Union,"Dec 31, 2011",Drama, ,$0,/movie/Yiddish-Policemens-Union-The#tab=summary
