Movie Name,Critical Label,Critic Rating,Audience Label,Audience Rating
Very Bad Things,Rotten,44%,Spilled,58%
Indiana Jones and the Temple of Doom,Certified Fresh,84%,Upright,81%
The Exorcism of Emily Rose,Rotten,45%,Upright,60%
Let's Go to Prison,Rotten,12%,Spilled,48%
Coraline,Certified Fresh,90%,Upright,73%
Bran Nue Dae,Rotten,57%,Spilled,53%
Bubba Ho-Tep,Certified Fresh,79%,Upright,79%
Men in Black 2,Rotten,39%,Spilled,46%
Grease,Certified Fresh,80%,Upright,88%
Amour,Certified Fresh,93%,Upright,82%
3 Ninjas Kick Back,Rotten,17%,Spilled,39%
J. Edgar,Rotten,43%,Spilled,45%
Dream House,Rotten,6%,Spilled,36%
The Exorcist,Certified Fresh,88%,Upright,87%
Indiana Jones and the Last Crusade,Certified Fresh,88%,Upright,94%
Safe House,Rotten,53%,Upright,64%
Bride of Chucky,Rotten,44%,Spilled,46%
A Haunted House 2,Rotten,8%,Spilled,50%
Four Christmases,Rotten,25%,Spilled,48%
Mr. 3000,Rotten,54%,Spilled,30%
The Brothers Bloom,Fresh,66%,Upright,64%
Wanted,Certified Fresh,71%,Upright,69%
Elektra,Rotten,10%,Spilled,30%
Chicken Run,Certified Fresh,97%,Upright,63%
White Noise 2: The Light,Fresh,75%,Spilled,43%
Journey to the Center of the Earth,Fresh,61%,Spilled,52%
Once,Certified Fresh,97%,Upright,91%
The Tourist,Rotten,20%,Spilled,42%
The Cat in the Hat,Rotten,10%,Spilled,30%
Daddy Day Care,Rotten,28%,Spilled,49%
The Grand,Fresh,78%,Upright,60%
Armageddon,Rotten,39%,Upright,73%
Blast from the Past,Rotten,58%,Spilled,56%
Diamonds Are Forever,Fresh,66%,Spilled,59%
Notorious,Rotten,51%,Upright,66%
Star Wars Ep. III: Revenge of the Sith,Certified Fresh,80%,Upright,65%
Mystic River,Certified Fresh,87%,Upright,89%
The Hunted,Rotten,29%,Spilled,47%
The Big Wedding,Rotten,7%,Spilled,41%
The Verdict,Fresh,96%,Upright,88%
Judge Dredd,Rotten,18%,Spilled,30%
Bloodsport,Rotten,33%,Upright,76%
Ghost Dog: Way of the Samurai,Certified Fresh,82%,Upright,86%
"Dude, Where's My Car?",Rotten,18%,Spilled,47%
Ali,Fresh,67%,Upright,65%
I Think I Love My Wife,Rotten,19%,Spilled,41%
The Princess and the Frog,Certified Fresh,84%,Upright,74%
Blood Diamond,Fresh,62%,Upright,90%
The Pianist,Certified Fresh,96%,Upright,96%
Welcome Home Roscoe Jenkins,Rotten,22%,Upright,63%
American Pie 2,Rotten,52%,Upright,68%
Sparkle,Rotten,57%,Upright,65%
A Home at the End of the World,Rotten,49%,Upright,68%
Small Soldiers,Rotten,47%,Spilled,44%
