Movie Name,Actor Name
Danny the Dog,Jet Li
Danny the Dog,Bob Hoskins
Danny the Dog,Morgan Freeman
Danny the Dog,Kerry Condon
Danny the Dog,Michael Jenn
Jobs,Ashton Kutcher
Jobs,Dermot Mulroney
Jobs,Josh Gad
Jobs,Lucas Haas
Jobs,J.K. Simmons
W.,Josh Brolin
W.,James Cromwell
W.,Elizabeth Banks
W.,Ellen Burstyn
W.,Scott Glenn
Life Before Her Eyes,Uma Thurman
Life Before Her Eyes,Evan Rachel Wood
Life Before Her Eyes,Eva Amurri
Soul Men,Samuel L. Jackson
Soul Men,Bernie Mac
Soul Men,Sharon Leal
Soul Men,Sean Hayes
Soul Men,Affion Crockett
Adoration,Rachel Blanchard
Adoration,Scott Speedman
Solitary Man,Danny De Vito
Solitary Man,Jenna Fischer
Solitary Man,Jesse Eisenberg
Solitary Man,Michael Douglas
Solitary Man,Susan Sarandon
Club Dread,Brittany Daniel
Club Dread,M.C. Gainey
Club Dread,Jordan Ladd
Club Dread,Jay Chandrasekhar
Club Dread,Bill Paxton
The Full Monty,Robert Carlyle
The Full Monty,Tom Wilkinson
The Full Monty,Mark Addy
The Full Monty,Paul Barber
The Full Monty,Steve Huison
Ghost,Patrick Swayze
Ghost,Demi Moore
Ghost,Whoopi Goldberg
Ghost,Tony Goldwyn
Ghost,Rick Aviles
Ghost World,Thora Birch
Ghost World,Brian George
Ghost World,Pat Healy
Ghost World,Rini Bell
Ghost World,T.J. Thyne
Twisted,Ashley Judd
Twisted,Samuel L. Jackson
Twisted,Andy Garcia
Twisted,David Strathairn
Twisted,Russell Wong
Wendy and Lucy,Michelle Williams
Wendy and Lucy,Will Patton
The Net,Sandra Bullock
The Net,Jeremy Northam
The Net,Ray McKinnon
Veronika Decides to Die,Sarah Michelle Gellar
Veronika Decides to Die,David Thewlis
Veronika Decides to Die,Erika Christensen
Veronika Decides to Die,Jonathan Tucker
Veronika Decides to Die,Melissa Leo
The R.M.,Jared Hess
Artie Lange's Beer League,Artie Lange
Artie Lange's Beer League,Ralph Macchio
Artie Lange's Beer League,Anthony DeSando
Artie Lange's Beer League,Cara Buono
Artie Lange's Beer League,Jimmy Palumbo
In Bruges,Brendan Gleeson
In Bruges,Colin Farrell
In Bruges,Ralph Fiennes
In Bruges,Clémence Poésy
In Bruges,Ciaran Hinds
Twin Falls Idaho,Jon Gries
Twin Falls Idaho,Mark Polish
Little Shop of Horrors,Christopher Guest
Little Shop of Horrors,Steve Martin
Little Shop of Horrors,Rick Moranis
Little Shop of Horrors,James Belushi
Little Shop of Horrors,Bill Murray
American Ninja 2: The Confrontation,Michael Dudikoff
American Ninja 2: The Confrontation,Steve James
Find Me Guilty,Vin Diesel
Find Me Guilty,Annabella Sciorra
Find Me Guilty,Ron Silver
Find Me Guilty,Alex Rocco
Find Me Guilty,Linus Roach
Warrior,Joel Edgerton
Warrior,Tom Hardy
Warrior,Jennifer Morrison
