Movie Name,Role,Name
Stop-Loss,Director,Kimberly Peirce
Stop-Loss,Producer,Kimberly Peirce
Stop-Loss,Producer,Mark Roybal
Stop-Loss,Producer,Scott Rudin
Stop-Loss,Producer,Gregory Goodman
Stop-Loss,Screenwriter,Mark Richard
Stop-Loss,Screenwriter,Kimberly Peirce
A Serious Man,Director,Joel Coen
A Serious Man,Director,Ethan Coen
A Serious Man,Producer,Joel Coen
A Serious Man,Producer,Ethan Coen
A Serious Man,Screenwriter,Joel Coen
A Serious Man,Screenwriter,Ethan Coen
Star Trek IV: The Voyage Home,Director,Leonard Nimoy
Act of Valor,Director,"Mike ""Mouse"" McCoy"
Act of Valor,Director,Scott Waugh
Act of Valor,Producer,Scott Waugh
Act of Valor,Screenwriter,Kurt Johnstad
Act of Valor,Producer,"Mike ""Mouse"" McCoy"
Act of Valor,Producer,Max Leitman
Crimson Tide,Director,Tony Scott
Crimson Tide,Producer,Don Simpson
Crimson Tide,Producer,Jerry Bruckheimer
Crimson Tide,Screenwriter,Michael Schiffer
The Faculty,Director,Robert Rodriguez
Man cheng jin dai huang jin jia,Director,Yimou Zhang
The Last Samurai,Director,Edward Zwick
The Last Samurai,Screenwriter,John Logan
The Last Samurai,Screenwriter,Marshall Herskovitz
The Last Samurai,Screenwriter,Edward Zwick
The Last Samurai,Producer,Edward Zwick
The Last Samurai,Producer,Marshall Herskovitz
The Last Samurai,Producer,Tom Cruise
The Last Samurai,Producer,Paula Wagner
The Last Samurai,Producer,Scott Kroopf
The Last Samurai,Producer,Tom Engelman
Paranormal Activity: The Marked Ones,Director,Christopher Landon
Paranormal Activity: The Marked Ones,Screenwriter,Christopher Landon
Paranormal Activity: The Marked Ones,Producer,Jason Blum
Paranormal Activity: The Marked Ones,Producer,Oren Peli
Be Kind Rewind,Director,Michel Gondry
Fantastic Four,Director,Tim Story
Fantastic Four,Screenwriter,Mark Frost
Fantastic Four,Screenwriter,Michael France
Fantastic Four,Producer,Bernd Eichinger
Fantastic Four,Producer,Avi Arad
Fantastic Four,Producer,Ralph Winter
The Beach,Director,Danny Boyle
The Beach,Screenwriter,John Hodge
The Beach,Producer,Andrew MacDonald
Crooklyn,Director,Spike Lee
Drumline,Director,Charles Stone III
Drumline,Screenwriter,Tina Gordon Chism
Drumline,Screenwriter,Shawn Schepps
Drumline,Producer,Wendy Finerman
Drumline,Producer,Timothy M. Bourne
Drumline,Producer,Jody Gerrson
Dead Poets' Society,Director,Peter Weir
Blue Streak,Director,Les Mayfield
The Lord of the Rings: The Two Towers,Director,Peter Jackson
The Lord of the Rings: The Two Towers,Producer,Peter Jackson
The Lord of the Rings: The Two Towers,Producer,Barrie M. Osborne
The Lord of the Rings: The Two Towers,Producer,Fran Walsh
The Lord of the Rings: The Two Towers,Screenwriter,Peter Jackson
The Lord of the Rings: The Two Towers,Screenwriter,Fran Walsh
The Lord of the Rings: The Two Towers,Screenwriter,Philippa Boyens
The Lord of the Rings: The Two Towers,Screenwriter,Stephen Sinclair
The Waterboy,Director,Frank Coraci
The Waterboy,Screenwriter,Tim Herlihy
The Waterboy,Screenwriter,Adam Sandler
The Waterboy,Producer,Robert Simonds
The Waterboy,Producer,Jack Giarraputo
A Very Long Engagement,Director,Jean-Pierre Jeunet
Titanic,Director,James Cameron
Titanic,Screenwriter,James Cameron
Titanic,Producer,James Cameron
Titanic,Producer,Jon Landau
A Bug's Life,Director,John Lasseter
A Bug's Life,Screenwriter,Andrew Stanton
A Bug's Life,Screenwriter,Donald McEnery
A Bug's Life,Screenwriter,Bob Shaw
A Bug's Life,Producer,Darla Anderson
A Bug's Life,Producer,Kevin Reher
Captain Corelli's Mandolin,Director,John Madden
Soul Surfer,Producer,David Zelon
Soul Surfer,Producer,Douglas Schwartz
Soul Surfer,Producer,Dutch Hofstetter
Soul Surfer,Producer,David Brookwell
Soul Surfer,Producer,Sean McNamara
Soul Surfer,Director,Sean McNamara
Soul Surfer,Screenwriter,Sean McNamara
Soul Surfer,Screenwriter,Deborah Schwartz
Soul Surfer,Screenwriter,Douglas Schwartz
Soul Surfer,Screenwriter,Michael Berk
Homefront,Director,Gary Fleder
Homefront,Screenwriter,Sylvester Stallone
Homefront,Producer,Sylvester Stallone
Homefront,Producer,Kevin King-Templeton
Homefront,Producer,John Thompson
Love in the Time of Cholera,Screenwriter,Ronald Harwood
Love in the Time of Cholera,Director,Mike Newell
Midnight Cabaret,Director,Donna R. Clark
Midnight Cabaret,Screenwriter,Donna R. Clark
Midnight Cabaret,Screenwriter,Peter C. Foster
22 Jump Street,Director,Phil Lord
22 Jump Street,Director,Christopher Miller
22 Jump Street,Producer,Neal H. Moritz
22 Jump Street,Producer,Jonah Hill
22 Jump Street,Producer,Channing Tatum
22 Jump Street,Screenwriter,Michael Bacall
22 Jump Street,Screenwriter,Oren Uziel
22 Jump Street,Screenwriter,Rodney Rothman
Perfume: The Story of a Murderer,Director,Tom Tykwer
On Her Majesty's Secret Service,Producer,Albert R. Broccoli
Cradle 2 the Grave,Producer,Joel Silver
Cradle 2 the Grave,Director,Andrzej Bartkowiak
Cradle 2 the Grave,Screenwriter,John O'Brien
Cradle 2 the Grave,Screenwriter,Channing Gibson
We Own the Night,Director,James Gray
The Call,Director,Brad Anderson
The Call,Screenwriter,Richard D'Ovidio
Striptease,Director,Andrew Bergman
Disney Planes,Director,Klay Hall
Disney Planes,Producer,Traci Balthazor-Flynn
Disney Planes,Screenwriter,Jeffrey M. Howard
A Funny Thing Happened on the Way to the Forum,Director,Richard Lester
The Open Road,Director,Michael Meredith
Atlantis: The Lost Empire,Director,Kirk Wise
Atlantis: The Lost Empire,Director,Gary Trousdale
Wimbledon,Director,Richard Loncraine
Wimbledon,Screenwriter,Adam Brooks
Wimbledon,Screenwriter,Jennifer Flackett
Wimbledon,Screenwriter,Mark Levin
Wimbledon,Producer,Tim Bevan
Wimbledon,Producer,Eric Fellner
Wimbledon,Producer,Liza Chasin
Wimbledon,Producer,Mary Richards
Romeo Must Die,Director,Andrzej Bartkowiak
Astérix et Obélix: Au service de Sa Majesté ,Producer,Olivier Delbosc
Astérix et Obélix: Au service de Sa Majesté ,Producer,Marc Missonnier
Astérix et Obélix: Au service de Sa Majesté ,Director,Laurent Tirard
Astérix et Obélix: Au service de Sa Majesté ,Screenwriter,Laurent Tirard
